what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1493366512771
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1493366512773
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1493366512775
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1493366512776
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1493366512777
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1493366512778
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1493366512780
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1493366512781
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1493366512783
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1493366512784
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1493366512786
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1493366512787
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1493366512789
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1493366512791
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1493366512792
os,sysinfo,,,"win32",1493366512800
arch,sysinfo,,,"x86_64",1493366512800
ws,sysinfo,,,"win32",1493366512800
locale,sysinfo,,,"zh_CN",1493366512800
processors,sysinfo,,,"4",1493366512800
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1493366512800
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1493366512800
java.specification.name,sysinfo,,,"Java Platform API Specification",1493366512800
java.specification.vendor,sysinfo,,,"Oracle Corporation",1493366512800
java.specification.version,sysinfo,,,"1.7",1493366512800
java.vendor,sysinfo,,,"Oracle Corporation",1493366512800
java.version,sysinfo,,,"1.7.0_80",1493366512800
java.vm.info,sysinfo,,,"mixed mode",1493366512800
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1493366512800
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1493366512800
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1493366512800
java.vm.specification.version,sysinfo,,,"1.7",1493366512800
java.vm.vendor,sysinfo,,,"Oracle Corporation",1493366512800
java.vm.version,sysinfo,,,"24.80-b11",1493366512800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493366515273
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1493366517571
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1493366517578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493366598408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1493366598430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493366602621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493366677531
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1493366677563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493366678635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493366679960
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493366680183
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1493366680788
